VICE90002 | Vice Commodore PlusS4 emulator
VICE90003 | Vice Commodore VIC20 emulator
WINDOS123 | WinDOS Emulator
ZMODMASTE | Master System Emulator - Zmod
ZMODNES00 | Nes Emulator - Zmod
ZMODSGEN0 | Mega Drive Emulator - Zmod
ZMODSNES0 | Snes Emulator - Zmod
one11111 | PS One (Deprecated, Only 3.XX)
AVCD00001 | Simple AVCHD Manager
BLES80607 | multiPLAY (A POC player made by deank)
CDGP00000 | CD-G Player r2 (Excellent Karaoke player)
CNDR00001 | Solar (Interactive Screen Saver)
DVDE00000 | DVD Enabler
HTSD00001 | stDISC (Showtime Disc Access)
HTSS00003 | Movian
KARA01010 | Kara (Karaoke Player)
SACDRIP01 | SACD-Ripper
STMC80608 | Showtime (Rebranded as Movian)
SUIT11111 | SuiteApp (Image/text viewer)
ACTRLPS30 | App Control
BB0011111 | blackb0x FTP Server
DARK0RSX5 | DragonFTP Server
RMTC00001 | EzRemote Client.
NPXS91337 | OpenPS3FTP v4
OFTP00001 | OpenPS3FTP v2
OFTP00003 | OpenPS3FTPsplit by Onishin
WIRC12345 | PS3 IRC
FTPD12345 | PS3 FTP Server
VNCVIEWER | VNC Viewer
ARTPS3001 | Artemis Cheat Tool by bucanero.
CHET11111 | PS3usercheat
CHET20000 | CodeUnique
ENSTONEXX | CCAPI by Enstone.
BLES00132 | Erase Me
CTRLFAN00 | Fan Control Utility
GMPADTEST | Gamepad Test
PUHS00000 | Hard Drive Reserved Space Unlocker
TEMPMON00 | TempMON
WIPE01337 | Wipe History
ABCD12345 | PS3 Messenger
APPTITLID | XMB Manager Plus (Obsolete)
BLBX00003 | b0xloader - SELF Loader
BLES80616 | PrepISO
BLES80688 | Install PKG 2
BLJS10018 | PSN Patch
BLND00001 | dev_blind
BLUS30017 | PSN Ninja/Gundam Crossfire
BOOT04XXX | PluginX
BROWSER01 | Web Browser Plus
CFWEXINST | CFW Extras Category Installer
CHIDALLRE | Change IDPS All Region
CINAVIA01 | Cinavia Tool
CLDBTINST | Coldboot Installer
CNDR00002 | Condor Updater 
COBRABOX5 | Cobra Box
COBRASWAP | Habib Toolbox
COBRATOOL | Cobra CFW Tools
DCRY00001 | SELF/SPRX Decrypter
DISABLECP | Disable Cinavia
DOWNLAODX | Extended Download Plugin Installer
DPFH00003 | Dump Flash
DUCK01337 | Duck Sample
DUMPSDATS | PlayStation®Home SDAT Dumper
DYNA00001 | Dynarec Enabler
ES35CSTMZ | ES35's Customize
EXA000000 | Homebrew Package Network
EXPEDITE | Expedite - Evas Benchmark Suite
FAKEBDEMU | Install Fake BDemu
FERROXMOD | Ferrox Mod Installer
FILEMANAG | File ManagerZ
FIXP12345 | PL3 Permission Fix
FLTZ00010 | EID Root Key Dumper
FREEFLASH | FreeFlash (dev_blind clone)
FSEN03269 | SEN Enabler-Disabler
FSMT00002 | Factory Service Mode by CrashSerious
GDSW00001 | GameData Tool
GMBTCLLC1 | Gameboot Collection Installer
HANTOOLBX | HAN Toolbox
HENBSTORE | HENBrew Store
HMBW00002 | Awesome Peek and Poker
HMBW00003 | QuickDumpR
HVDEBUG01 | HVDebug (Hypervisor debugging from GameOS)
IDPS00001 | IDPS Viewer
IDPSET000 | IDPSet
INSTALLPK | Install Package Homebrew
IRISMAN01 | MAMBA + PS3M_API + PRX_Loader
JAICUSBL0 | USB FIRM LOADER
JUIC10000 | Juicy Fix
LAUNCHPAD | LaunchPAD
LED0DISC0 | LED Changer
LNX000001 | BootOS_Installer
LOAD00000 | MrGatz85 & Cael's Open Asbestos Loader
LUAFPS310 | LUAFPS3 - LuaPlayer for PS3
LUAP00001 | LUA Player
LUAP0PS3 | LUA Player (Script interpreter - maybe obsolete)
LV2000000 | lv2patcher bd-region changer (This TitleID is used also by LV2-9)
LV2D00000 | LV2 Dump
LV2LOADER | Rebug's lv2_kernel.self Loader
MA00BLACK | MA BD TOOL
MAMBAINST | Funny Mamba Auto Loader
MAMBAPRXL | MAMBA/PRX Loader
MEMD00001 | MemDump
MHFS00000 | Mhu Free Store
MONSTER01 | Chaos Air Bringer (Change PS3 MAC Address)
MOUNTDFRW | Alejandro | Mount /dev_flash RW in /dev_Alejando
N4RULOADR | n4ru Flash Loader
NOBAN0000 | PSUnban
NP00PKGI3 | PKGI by Bucanero
NP0ANSIVW | ANSi View by Bucanero
NP0APOLLO | Apollo Save Tool by Bucanero
NPEA90124 | SEN Enabler
NPXS09386 | PSNope
NZHA00000 | PSPoke
OCOP46756 | Open Copy Install
PEXTRANET | PS3 EXTRANET
PKGENABLE | PKG Enabler (Hide/show PGK Installer obsolete with XMBM+)
PKGMANAGE | Rebug Package Manager
PLUGINMAN | Plugin Manager
PONG66666 | Polygonal Demo
PRXLOADER | PRX Loader
PS2NETEMU | PS2 Netemu Selector
PS3LOAD00 | PS3LoadX
PS3LOAD04 | Run PS3 SELF programs via wireless (Maybe obsolete)
PS3LOCKUP | PS3 Lock
PS3MAPI00 | PS3 Manager
PS3T000LZ | PS3 Advanced Tools
PS3TRTIME | Cek waktu nyala (PS3OnTime)
PSCD00001 | Google Cloud Drive
PSCHANNEL | PSChannel
PSEISM1GR | Seismograph
PSVB00001 | PSVibe (Sex tool for wife/gf & others)
PVIBEMOVE | PSVibe Move
QAFG00003 | QA flag tool (Obsolete)
QAFLAG000 | Habbib's QA Flag
RBGSELECT | Rebug Selector (Obsolete)
RBGTLBOX2 | Rebug Toolbox 
RESACTDAT | Restore act.dat
ROGE00001 | Buttons Layout Changer
RPSN00001 | reActPSN
RQAF00003 | QA reset tool
RSX00003 | PS3 MAPI Dynarec Test
SCO000000 | SConsole
STOK01340 | CFWLoad
STOK01342 | PSIDPatch
TEST00000 | PS3 Model Detection
TOGGLEQAF | Rebug Toggle QA
TRUEBLUE4 | TrueBlue Updater
TXTR11111 | Text Reader
VERSPOOFA | Rebug's 4.00 Version Spoofer
VSHU00100 | vsh.self patcher for reActPSN
WHATSNEW1 | What's New on PSX-Place
XMBGREEK0 | Greek XMB Pack
XMBLOCK00 | XMB Lock
XMBMANPLS | XMB Manager Plus
XMBMANPLS | XMBM+ 2017
XMBMODMAN | XMB Mod Man
XMBPDINST | XMBPD Installer
XMBPLSMOD | Unofficial Rebug Updater
XREG00001 | xReg Plus (Backup/restore xRegistry.sys)
ZZZZ00001 | PS3 Ram Dumper
